"id","performer_id","event_name","theme_name","talent_name","location","description","image_profile","rate","average_rating","phone","experience","genres","performer_type","availability_status","created_at","updated_at"
"15","21","Concert","Pop","Singer","Manila, Capital District, Philippines","we are bini","profile_images/x5IX1PFPAyqgzVcg6eWdCTPcBcR25nsRBFI9xiDa.jpg","3000","5.00","09123456788","3","Any","group","Available","2025-01-06 18:38:28","2025-01-06 20:38:53"
"16","25","Concert","Rock","singer","Manila, Capital District, Philippines",NULL,"profile_images/WKqKxpzUS68rByn1vdzcN73cKb4quSLXtlCwewgc.jpg","49999",NULL,NULL,"12","Rock","group","Available","2025-01-15 05:58:36","2025-01-15 16:49:58"
"17","26","Reunion","Highschool","DJs","Lapu-Lapu, Central Visayas, Philippines",NULL,"profile_images/u2BOPwxykZcbwVxb4V5ZFbvWazc7BF2pBm9y5bKZ.jpg","2500",NULL,NULL,"2",NULL,"solo","Available","2025-01-15 06:01:29","2025-01-15 17:57:45"
"18","27","Concert","Rock","singer",NULL,NULL,"profile_images/tQSS2MlVkY1cKjpixPFKIbchn61J6cSJab6ut7zF.jpg","24999",NULL,NULL,"11","Rock","group","Available","2025-01-15 06:02:13","2025-01-15 06:04:05"
"19","28","Concert","Rock","singer","Mandaue City, United Nations Avenue, Pakna-an, Mandaue, 6014 Central Visayas, Philippines",NULL,"profile_images/5obXBefXN2JN0mGnFXuEVBKLHSpQhGoTYO736Zia.jpg","2000",NULL,NULL,NULL,NULL,"solo","Available","2025-01-15 06:03:38","2025-01-15 06:22:40"
"20","29","Concert","Pop","dancer","Cebu City, Central Visayas, Philippines",NULL,"profile_images/i6zzxWOxlr12jhxG2ZKQTpm7RW7AlR8WxYtCGeig.jpg","2500",NULL,NULL,NULL,NULL,"solo","Available","2025-01-15 06:03:41","2025-01-15 06:18:59"
"21","30",NULL,NULL,,,,NULL,"0",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-15 06:16:47","2025-01-15 06:16:47"
"22","31",NULL,NULL,,,,NULL,"0",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-15 06:16:47","2025-01-15 06:16:47"
"23","32",NULL,NULL,,,,NULL,"0",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-15 06:16:48","2025-01-15 06:16:48"
"24","33",NULL,NULL,,,,NULL,"0",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-15 06:16:49","2025-01-15 06:16:49"
"25","34",NULL,NULL,,,,NULL,"0",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-15 06:16:50","2025-01-15 06:16:50"
"26","35",NULL,NULL,,,,NULL,"0",NULL,NULL,NULL,NULL,NULL,"Available","2025-01-15 06:16:51","2025-01-15 06:16:51"
